Enter the spring constant (in N/m): 
Enter the mass (in kg): 
Enter the initial displacement (in m): 
Enter the simulation time (in s): 
Enter the time step (in s): 
Time (s)		Position (m)
58.75			-1.883411113
59			0.1808923983
59.25			2.150806418
59.5			2.998431569
59.75			2.281477806
60			0.3740509613
60.25			-1.728555341
60.5			-2.92920301
60.75			-2.601395165
61			-0.9161816459
61.25			1.247094638
61.5			2.759638053
61.75			2.832204797
62			1.426929608
62.25			-0.7229161768
62.5			-2.495544946
62.75			-2.966000591
63			-1.888799777
63.25			0.1739750739
63.5			2.145969886
63.75			2.998199529
64			2.285971335
64.25			0.3809253401
64.5			-1.722887157
64.75			-2.927698674
65			-2.604839638
65.25			-0.9227776054
65.5			1.240788958
65.75			2.756912951
66			2.834482229
66.25			1.433021211
66.5			-0.7161889947
66.75			-2.491692423
67			-2.96703297
67.25			-1.894178363
67.5			0.1670568214
67.75			2.141121906
68			2.997951492
68.25			2.290452667
68.5			0.3877976865
68.75			-1.717209781
69			-2.926178718
69.25			-2.608270214
69.5			-0.9293686416
69.75			1.234476658
70			2.75417314
70.25			2.836744537
70.5			1.439105169
70.75			-0.7094579916
71			-2.487826606
71.25			-2.968049519
71.5			-1.899546844
71.75			0.1601376776
72			2.136262502
72.25			2.997687461
72.5			2.29492178
72.75			0.3946679639
73			-1.711523243
73.25			-2.92464315
73.5			-2.611686874
73.75			-0.9359547193
74			1.228157772
74.25			2.751418635
74.5			2.838991711
74.75			1.445181449
75			-0.7027232034
75.25			-2.483947515
75.5			-2.969050232
75.75			-1.90490519
76			0.1532176794
76.25			2.1313917
76.5			2.997407436
76.75			2.299378648
77			0.4015361357
77.25			-1.705827574
77.5			-2.923091979
77.75			-2.6150896
78			-0.9425358036
78.25			1.221832333
78.5			2.74864945
78.75			2.841223739
79			1.451250018
79.25			-0.6959846659
79.5			-2.480055173
79.75			-2.970035105
80			-1.910253373
80.25			0.1462968637
80.5			2.126509527
80.75			2.997111419
81			2.303823249
81.25			0.4084021652
81.5			-1.700122803
81.75			-2.921525212
82			-2.618478374
82.25			-0.9491118591
82.5			1.215500376
82.75			2.7458656
83			2.843440607
83.25			1.457310844
83.5			-0.6892424152
83.75			-2.476149598
84			-2.971004132
84.25			-1.915591364
84.5			0.1393752675
84.75			2.121616009
85			2.996799412
85.25			2.308255558
85.5			0.4152660157
85.75			-1.694408963
86			-2.919942858
86.25			-2.621853177
86.5			-0.9556828509
86.75			1.209161934
87			2.743067101
87.25			2.845642305
87.5			1.463363896
87.75			-0.6824964872
88			-2.472230813
88.25			-2.971957308
88.5			-1.920919135
88.75			0.1324529277
89			2.116711171
89.25			2.996471416
89.5			2.312675552
89.75			0.4221276507
90			-1.688686082
90.25			-2.918344925
90.5			-2.625213993
90.75			-0.9622487438
91			1.20281704
91.25			2.740253967
91.5			2.847828821
91.75			1.46940914
92			-0.6757469179
92.25			-2.468298838
92.5			-2.972894628
92.75			-1.926236657
93			0.1255298813
93.25			2.11179504
93.5			2.996127433
93.75			2.317083207
94			0.4289870336
94.25			-1.682954191
94.5			-2.916731422
94.75			-2.628560802
95			-0.968809503
95.25			1.196465729
95.5			2.737426212
95.75			2.850000143
96			1.475446544
96.25			-0.6689937433
96.5			-2.464353693
96.75			-2.973816087
97			-1.931543902
97.25			0.1186061651
97.5			2.106867642
97.75			2.995767465
98			2.3214785
98.25			0.4358441276
98.5			-1.677213321
98.75			-2.915102357
99			-2.631893587
99.25			-0.9753650932
99.5			1.190108035
99.75			2.734583853
100			2.852156259
100.25			1.481476077
100.5			-0.6622369995
100.75			-2.460395401
101			-2.974721679
101.25			-1.936840843
101.5			0.1116818161
101.75			2.101929003
102			2.995391513
102.25			2.325861407
102.5			0.4426988964
102.75			-1.671463503
103			-2.91345774
103.25			-2.63521233
103.5			-0.9819154797
103.75			1.183743991
104			2.731726904
104.25			2.854297159
104.5			1.487497705
104.75			-0.6554767224
105			-2.456423982
105.25			-2.975611401
105.5			-1.942127449
105.75			0.1047568712
106			2.09697915
106.25			2.994999581
106.5			2.330231906
106.75			0.4495513032
107			-1.665704768
107.25			-2.911797578
107.5			-2.638517013
107.75			-0.9884606273
108			1.177373631
108.25			2.728855381
108.5			2.85642283
108.75			1.493511397
109			-0.6487129482
109.25			-2.452439457
109.5			-2.976485247
109.75			-1.947403694
110			0.09783136747
110.25			2.092018109
110.5			2.994591669
110.75			2.334589971
111			0.4564013115
111.25			-1.659937145
111.5			-2.910121882
111.75			-2.64180762
112			-0.9950005013
112.25			1.17099699
112.5			2.725969298
112.75			2.858533261
113			1.499517121
113.25			-0.641945713
113.5			-2.448441847
113.75			-2.977343213
114			-1.952669549
114.25			0.09090534177
114.5			2.087045906
114.75			2.994167781
115			2.338935581
115.25			0.4632488848
115.5			-1.654160666
115.75			-2.908430659
116			-2.645084132
116.25			-1.001535067
116.5			1.164614101
116.75			2.723068672
117			2.860628441
117.25			1.505514845
117.5			-0.6351750528
117.75			-2.444431175
118			-2.978185293
118.25			-1.957924986
118.5			0.08397883105
118.75			2.082062569
119			2.993727918
119.25			2.343268713
119.5			0.4700939866
119.75			-1.648375362
120			-2.906723919
120.25			-2.648346531
120.5			-1.008064289
120.75			1.158224999
121			2.720153517
121.25			2.862708359
121.5			1.511504536
121.75			-0.6284010038
122			-2.440407461
122.25			-2.979011485
122.5			-1.963169976
122.75			0.0770518723
123			2.077068123
123.25			2.993272082
123.5			2.347589342
123.75			0.4769365803
124			-1.642581263
124.25			-2.905001671
124.5			-2.651594801
124.75			-1.014588132
125			1.151829718
125.25			2.71722385
125.5			2.864773004
125.75			1.517486163
126			-0.6216236021
126.25			-2.436370727
126.5			-2.979821782
126.75			-1.968404493
127			0.07012450244
127.25			2.072062595
127.5			2.992800277
127.75			2.351897447
128			0.4837766294
128.25			-1.636778401
128.5			-2.903263924
128.75			-2.654828924
129			-1.021106563
129.25			1.145428291
129.5			2.714279685
129.75			2.866822364
130			1.523459694
130.25			-0.6148428839
130.5			-2.432320994
130.75			-2.980616182
131			-1.973628508
131.25			0.06319675847
131.5			2.067046013
131.75			2.992312504
132			2.356193003
132.25			0.4906140975
132.5			-1.630966806
132.75			-2.901510687
133			-2.658048883
133.25			-1.027619545
133.5			1.139020753
133.75			2.711321039
134			2.868856429
134.25			1.529425097
134.5			-0.6080588853
134.75			-2.428258284
135			-2.981394679
135.25			-1.978841993
135.5			0.05626867731
135.75			2.062018402
136			2.991808766
136.25			2.360475989
136.5			0.4974489479
136.75			-1.625146509
137			-2.89974197
137.25			-2.66125466
137.5			-1.034127046
137.75			1.132607138
138			2.708347928
138.25			2.870875188
138.5			1.53538234
138.75			-0.6012716426
139			-2.424182619
139.25			-2.98215727
139.5			-1.984044921
139.75			0.04934029595
140			2.05697979
140.25			2.991289067
140.5			2.36474638
140.75			0.5042811444
141			-1.619317542
141.25			-2.897957782
141.5			-2.664446239
141.75			-1.040629028
142			1.12618748
142.25			2.705360367
142.5			2.87287863
142.75			1.541331391
143			-0.5944811919
143.25			-2.42009402
143.5			-2.982903949
143.75			-1.989237263
144			0.04241165134
144.25			2.051930203
144.5			2.990753408
144.75			2.369004155
145			0.5111106504
145.25			-1.613479936
145.5			-2.896158132
145.75			-2.667623602
146			-1.047125459
146.25			1.119761813
146.5			2.702358372
146.75			2.874866745
147			1.547272219
147.25			-0.5876875696
147.5			-2.415992509
147.75			-2.983634715
148			-1.994418991
148.25			0.03548278046
148.5			2.046869669
148.75			2.990201793
149			2.373249291
149.25			0.5179374295
149.5			-1.607633721
149.75			-2.894343031
150			-2.670786733
150.25			-1.053616303
150.5			1.113330173
150.75			2.699341959
151			2.876839522
151.25			1.553204791
151.5			-0.5808908117
151.75			-2.411878108
152			-2.984349562
152.25			-1.99959008
152.5			0.02855372026
152.75			2.041798214
153			2.989634224
153.25			2.377481765
153.5			0.5247614452
153.75			-1.601778928
154			-2.892512488
154.25			-2.673935614
154.5			-1.060101526
154.75			1.106892592
155			2.696311144
155.25			2.878796949
155.5			1.559129077
155.75			-0.5740909547
156			-2.407750839
156.25			-2.985048486
156.5			-2.004750499
156.75			0.02162450773
157			2.036715866
157.25			2.989050705
157.5			2.381701555
157.75			0.5315826613
158			-1.59591559
158.25			-2.890666512
158.5			-2.67707023
158.75			-1.066581092
159			1.100449106
159.25			2.693265944
159.5			2.880739018
159.75			1.565045045
160			-0.5672880347
160.25			-2.403610725
160.5			-2.985731485
160.75			-2.009900223
161			0.01469517982
161.25			2.031622651
161.5			2.988451238
161.75			2.385908638
162			0.5384010411
162.25			-1.590043738
162.5			-2.888805114
162.75			-2.680190562
163			-1.073054969
163.25			1.093999749
163.5			2.690206375
163.75			2.882665717
164			1.570952663
164.25			-0.5604820881
164.5			-2.399457786
164.75			-2.986398554
165			-2.015039224
165.25			0.007765773517
165.5			2.026518597
165.75			2.987835827
166			2.390102991
166.25			0.5452165485
166.5			-1.584163402
166.75			-2.886928304
167			-2.683296595
167.25			-1.07952312
167.5			1.087544555
167.75			2.687132453
168			2.884577037
168.25			1.576851899
168.5			-0.5536731512
168.75			-2.395292046
169			-2.98704969
169.25			-2.020167474
169.5			0.0008363257692
169.75			2.021403731
170			2.987204475
170.25			2.394284592
170.5			0.552029147
170.75			-1.578274614
171			-2.885036091
171.25			-2.686388312
171.5			-1.085985512
171.75			1.081083559
172			2.684044194
172.25			2.886472966
172.5			1.582742722
172.75			-0.5468612603
173			-2.391113526
173.25			-2.987684889
173.5			-2.025284946
173.75			-0.006093126429
174			2.016278081
174.25			2.986557186
174.5			2.398453419
174.75			0.5588388003
175			-1.572377405
175.25			-2.883128485
175.5			-2.689465697
175.75			-1.092442109
176			1.074616795
176.25			2.680941615
176.5			2.888353495
176.75			1.588625101
177			-0.5400464518
177.25			-2.386922249
177.5			-2.988304148
177.75			-2.030391612
178			-0.01302254613
178.25			2.011141673
178.5			2.985893963
178.75			2.40260945
179			0.565645472
179.25			-1.566471808
179.5			-2.881205498
179.75			-2.692528732
180			-1.098892879
180.25			1.068144297
180.5			2.677824733
180.75			2.890218615
181			1.594499005
181.25			-0.5332287619
181.5			-2.382718237
181.75			-2.988907464
182			-2.035487446
182.25			-0.01995189634
182.5			2.005994535
182.75			2.985214809
183			2.406752662
183.25			0.5724491259
183.5			-1.560557853
183.75			-2.879267138
184			-2.695577402
184.25			-1.105337785
184.5			1.061666101
184.75			2.674693564
185			2.892068314
185.25			1.600364401
185.5			-0.5264082272
185.75			-2.378501512
186			-2.989494833
186.25			-2.040572419
186.5			-0.02688114013
186.75			2.000836694
187			2.984519728
187.25			2.410883034
187.5			0.5792497256
187.75			-1.554635572
188			-2.877313417
188.25			-2.69861169
188.5			-1.111776794
188.75			1.05518224
189			2.671548124
189.25			2.893902583
189.5			1.606221259
189.75			-0.5195848839
190			-2.374272098
190.25			-2.990066252
190.5			-2.045646506
190.75			-0.03381024047
191			1.995668178
191.25			2.983808724
191.5			2.415000543
191.75			0.5860472349
192			-1.548704997
192.25			-2.875344344
192.5			-2.701631581
192.75			-1.118209872
193			1.04869275
193.25			2.668388431
193.5			2.895721412
193.75			1.612069547
194			-0.5127587685
194.25			-2.370030016
194.5			-2.990621718
194.75			-2.050709679
195			-0.04073916043
195.25			1.990489016
195.5			2.983081801
195.75			2.419105167
196			0.5928416174
196.25			-1.542766159
196.5			-2.873359931
196.75			-2.704637058
197			-1.124636983
197.25			1.042197665
197.5			2.665214502
197.75			2.897524792
198			1.617909234
198.25			-0.5059299174
198.5			-2.36577529
198.75			-2.991161229
199			-2.055761911
199.25			-0.04766786303
199.5			1.985299233
199.75			2.982338962
200			2.423196885
